DATA CRIAÇÃO;NÚMERO MM;OPER;TIPO;TIPO DE EMISSÃO;MOEDA;MONTANTE;VALOR BALANÇO;DATA INÍCIO;DATA FIM;CÓDIGO ACTIVO;NOME ACTIVO;ISIN;SECTOR INSTITUICIONAL;CONTA;TOTAL;DATA CONTABIL.;TAXA JURO;TOTAL MM;JURO CORRIDO;CÓDIGO PROGRAMA;BALCÃO;NIF CLIENTE;CONTA 074;TIPO TAXA;TAXA INTERVENÇÃO;SPREAD;INDEXANTE;VALOR INDEXANTE;ALTAMIRA;PRODUTO;SUBPRODUTO
13/08/2024;650461;Empréstimo;Papel Comercial;Prémio;EUR;1000000;1000000;13/08/2024;08/05/2025;PC1135_0001;INSPAUTO 1 MIO 2024 - 1ª Emissão;PTI69BJM0006;1312000;INSPAUTO INSPECCAO VEICULOS LDA//;1029971.33;13/08/2024;4.026;1029971.33;22031.17;PC1135;6226;503041572;"	";Taxa Variável;4.026;0.85;EURIBOR12M;3.176;8042264407;113;EMP
28/08/2024;651173;Empréstimo;Papel Comercial;Prémio;EUR;70000000;30000000;28/08/2024;27/08/2025;PC0765_0019;GRUPADO ALTRI 2019 - 19ª Emissão;PTC07UJM0046;1312000;CELULOSE BEIRA INDUSTRIAL ( CELBI ), SA//;31157520.00;28/08/2024;3.816;31157520.00;578760;PC0765;7102;500060266;"	31000310019433074";Taxa Variável;3.816;0.7;EURIBOR12M;3.116;8001410107;113;EMP
28/08/2024;651176;Empréstimo;Papel Comercial;Prémio;EUR;850000;850000;30/08/2024;28/02/2025;PC0904_0007;GRUPADO MONTEIRO RIBAS - MARÇO 2022 - 7ª Emissão;PTM84VJM0148;1312000;MONTEIRO RIBAS-INDUSTRIAS S.A.//;853008.06;28/08/2024;0.7;853008.06;2975;PC0904;6581;500196435;"	";Taxa Fixa;0.7;;;;19565;113;EMP
28/08/2024;651177;Empréstimo;Papel Comercial;Prémio;EUR;600000;600000;30/08/2024;28/02/2025;PC0942_0005;Valente Marques SA 2022 - 5ª Emissão;PTV02XJM0037;1312000;VALENTE MARQUES COMERCIAL S.A.//;612342.63;28/08/2024;4.069;612342.63;12207;PC0942;6226;500295069;"	";Taxa Variável;4.069;0.95;EUR10M-AVEM;3.119;23746;113;EMP
28/08/2024;651205;Empréstimo;Papel Comercial;Prémio;USD;50000000;8995232.53;30/08/2024;24/04/2025;PC0546_0038;HOVIONE 2017 - 38ª Emissão;PTH48LJM0027;1312000;HOVIONE-FARMACIENCIA S.A.//;10324993.49;28/08/2024;4.93661;10324993.49;246830;PC0546;7103;500135495;"	31000310016330074";Taxa Variável;4.93661;0.69;IRUSDSOF12M;4.24661;8000419141;113;EMP
29/08/2024;651261;Empréstimo;Papel Comercial;Prémio;EUR;1000000;1000000;30/08/2024;29/08/2025;PC1008_0002;GRUPADO VIOLAS 2023 - 2ª Emissão;PTCP1BJM0007;1312000;CLIP-COLÉGIO LUSO INTERNACIONAL DO PORTO,S.A.//;1046703.22;29/08/2024;4.619;1046703.22;23095;PC1008;7102;503110175;"	";Taxa Variável;4.619;1.5;EURIBOR12M;3.119;8029472685;113;EMP
03/09/2024;651403;Empréstimo;Papel Comercial;Prémio;EUR;3700000;3700000;05/09/2024;07/03/2025;PC0866_0007;ASCENDUM I - 2021 - 7ª Emissão;PTA117JM0123;1312000;ASCENDUM SA//;3711285.00;03/09/2024;0.6;3711285.00;10730;PC0866;7102;500038007;"	";Taxa Fixa;0.6;;;;8001112390;113;EMP
03/09/2024;651416;Empréstimo;Papel Comercial;Prémio;EUR;7500000;7500000;05/09/2024;04/03/2025;PC1139_0001;GRUPO SALVADOR CAETANO 2024 - 1ª Emissão;PTGR1VJM0075;1312000;GRUPO SALVADOR CAETANO SGPS, SA//;7654912.50;03/09/2024;4.131;7654912.50;149748.75;PC1139;7102;501288007;"	";Taxa Variável;4.131;0.75;EURIBOR6M;3.381;8026147349;113;EMP
04/09/2024;651446;Empréstimo;Papel Comercial;Prémio;EUR;3000000;500000;04/09/2024;06/03/2025;PC1006_0005;GRUPADO XRS 2023 - 5ª Emissão;PTX00DJM0007;1312000;XRS MOTOR S.A.//;511948.38;04/09/2024;4.701;511948.38;11426.04;PC1006;6581;508737583;"	";Taxa Variável;4.701;1.35;EURIBOR6M;3.351;7400593826;113;EMP
04/09/2024;651458;Empréstimo;Papel Comercial;Prémio;EUR;3000000;2500000;04/09/2024;06/03/2025;PC1006_0006;GRUPADO XRS 2023 - 6ª Emissão;PTXR1CJM0008;1310000;XRS HOLDING SGPS, S.A.//;2559741.88;04/09/2024;4.701;2559741.88;57130.21;PC1006;6581;513238875;"	";Taxa Variável;4.701;1.35;EURIBOR6M;3.351;7401276306;113;EMP
04/09/2024;651489;Empréstimo;Papel Comercial;Prémio;USD;50000000;28959276.02;06/09/2024;24/04/2025;PC0546_0039;HOVIONE 2017 - 39ª Emissão;PTH48BJM0029;1312000;HOVIONE-FARMACIENCIA S.A.//;32998476.00;04/09/2024;4.88385;32998476.00;751035.29;PC0546;7103;500135495;"	31000310016330074";Taxa Variável;4.88385;0.69;IRUSDSOF12M;4.19385;8000419141;113;EMP
11/09/2024;651778;Empréstimo;Papel Comercial;Prémio;EUR;1500000;1500000;10/09/2024;07/03/2025;PC1141_0001;CFPT 2024 - 1ª Emissão;PTCX3AJM0000;1312000;CFPT - VEICULOS E ACESSORIOS, S.A.//;1528368.75;11/09/2024;3.825;1528368.75;26934.38;PC1141;6226;517086840;"	";Taxa Variável;3.825;0.8;EURIBOR12M;3.025;7402391982;113;EMP
12/09/2024;651873;Empréstimo;Papel Comercial;Prémio;EUR;100000;100000;16/09/2024;17/03/2025;PC0803_0010;GRUPADO GLOBALVALOS - 2020 - 10ª Emissão;PTG36MJM0013;1312000;GLOBALVALOS SGPS, S.A.//;101834.66;12/09/2024;3.629;101834.66;1643.13;PC0803;6226;510295193;"	";Taxa Variável;3.629;0.7;EURIBOR1Y0;2.929;7401029852;113;EMP
13/09/2024;651969;Empréstimo;Papel Comercial;Prémio;EUR;1750000;750000;12/09/2024;12/03/2025;PC1142_0001;GRUPADO M A SILVA - 1ª Emissão;PTM96QJM0000;1310000;M.A.SILVA - CORTIÇAS, LDA//;764970.21;13/09/2024;3.97;764970.21;13812.29;PC1142;6226;502434570;"	";Taxa Variável;3.97;1;EURIBOR12M;2.97;8017699072;113;EMP
13/09/2024;651970;Empréstimo;Papel Comercial;Prémio;EUR;1750000;500000;12/09/2024;12/03/2025;PC1142_0002;GRUPADO M A SILVA - 2ª Emissão;PTM95IJM0001;1312000;M.A.SILVA II -CORTIÇAS, LDA.//;509980.14;13/09/2024;3.97;509980.14;9208.19;PC1142;6226;504540491;"	";Taxa Variável;3.97;1;EURIBOR12M;2.97;8043804793;113;EMP
13/09/2024;651971;Empréstimo;Papel Comercial;Prémio;EUR;1750000;500000;12/09/2024;12/03/2025;PC1142_0003;GRUPADO M A SILVA - 3ª Emissão;PTMS3OJM0003;1312000;M.A. SILVA 3 - CORTICAS, LDA.//;509980.14;13/09/2024;3.97;509980.14;9208.19;PC1142;6226;505629577;"	";Taxa Variável;3.97;1;EURIBOR12M;2.97;7400043088;113;EMP
17/09/2024;652087;Empréstimo;Papel Comercial;Prémio;EUR;3750000;3750000;19/09/2024;19/03/2025;PC0943_0004;FAPRICELA 2022 - 4ª Emissão;PTFA1GJM0023;1312000;FAPRICELA INDUSTRIA DE TREFILARIA, SA//;3820665.42;17/09/2024;3.748;3820665.42;62466.67;PC0943;6586;500643130;"	";Taxa Variável;3.748;0.8;EURIBOR1Y0;2.948;2100297497;113;EMP
18/09/2024;652157;Empréstimo;Papel Comercial;Prémio;EUR;3250000;3250000;20/09/2024;20/03/2025;PC0944_0043;GRUPADO ETE SETEMBRO 2022 - 43ª Emissão;PTT68TJM0004;1310000;TRANSINSULAR ACORES TRANSPORTES MARITIMOS INSULARES S.A.//;3343776.85;18/09/2024;5.739;3343776.85;82378.56;PC0944;7103;512018669;"	";Taxa Variável;5.739;2.5;EURIBOR6M0;3.239;2101245603;113;EMP
19/09/2024;652259;Empréstimo;Papel Comercial;Prémio;EUR;8250000;1100000;23/09/2024;24/03/2025;PC0835_0022;POLIVOUGA 2020 - 22ª Emissão;PTP21YJM0056;1312000;POLIVOUGA- INDUSTRIA DE PLASTICOS, SA//;1104726.94;19/09/2024;0.85;1104726.94;4051.67;PC0835;6245;501344900;"	";Taxa Fixa;0.85;;;;24337;113;EMP
19/09/2024;652260;Empréstimo;Papel Comercial;Prémio;EUR;8250000;5200000;23/09/2024;22/09/2025;PC0835_0023;POLIVOUGA 2020 - 23ª Emissão;PTP21PJM0057;1312000;POLIVOUGA- INDUSTRIA DE PLASTICOS, SA//;5244691.11;19/09/2024;0.85;5244691.11;19153.33;PC0835;6245;501344900;"	";Taxa Fixa;0.85;;;;24337;113;EMP
19/09/2024;652261;Empréstimo;Papel Comercial;Prémio;EUR;8250000;1700000;23/09/2024;22/09/2025;PC0835_0024;POLIVOUGA 2020 - 24ª Emissão;PTP212JM0059;1312000;POLIVOUGA- INDUSTRIA DE PLASTICOS, SA//;1714610.56;19/09/2024;0.85;1714610.56;6261.67;PC0835;6245;501344900;"	";Taxa Fixa;0.85;;;;24337;113;EMP
19/09/2024;652264;Empréstimo;Papel Comercial;Prémio;EUR;19500000;500000;23/09/2024;22/09/2025;PC0938_0026;GRUPADO VERACRUZ 2022 - 26ª Emissão;PTV38NJM0003;1310000;VERACRUZ AGRESTATE//;522224.22;19/09/2024;4.396;522224.22;9524.67;PC0938;5223;514342269;"	";Taxa Variável;4.396;1.46;EURIBOR1Y0;2.936;7401718897;113;EMP
19/09/2024;652270;Empréstimo;Papel Comercial;Prémio;EUR;500000;500000;20/09/2024;21/03/2025;PC1076_0003;F.FONSECA, SA - 2024 - 3ª Emissão;PTFS1FJM0000;1312000;F.FONSECA S.A.//;509405.86;19/09/2024;3.721;509405.86;8217.21;PC1076;6245;500833982;"	";Taxa Variável;3.721;0.8;EURIBOR12M;2.921;8027959704;113;EMP
20/09/2024;652294;Empréstimo;Papel Comercial;Prémio;EUR;8250000;250000;24/09/2024;24/03/2025;PC0835_0025;POLIVOUGA 2020 - 25ª Emissão;PTP218JM0053;1312000;POLIVOUGA- INDUSTRIA DE PLASTICOS, SA//;251068.40;20/09/2024;0.85;251068.40;914.93;PC0835;6245;501344900;"	";Taxa Fixa;0.85;;;;24337;113;EMP
20/09/2024;652327;Empréstimo;Papel Comercial;Prémio;EUR;1600000;1600000;24/09/2024;24/03/2025;PC0140_0040;SANINDUSA 2010 - 40ª Emissão;PTS54LJM0017;1312000;SANINDUSA-INDÚSTRIA DE SANITÁRIOS SA//;1632121.47;20/09/2024;3.993;1632121.47;27507.33;PC0140;6245;502615982;"	31000310007875074";Taxa Variável;3.993;1.075;EURIBOR1Y0;2.918;2631000391;113;EMP
20/09/2024;652336;Empréstimo;Papel Comercial;Prémio;EUR;1500000;1400000;20/09/2024;19/09/2025;PC1143_0001;GRUPADO GLOBALVALOS 2024 - 1ª Emissão;PTL79AJM0000;1312000;LITOSTEEL I UNIPESSOAL LDA//;1454088.38;20/09/2024;3.821;1454088.38;23626.52;PC1143;6226;517673746;"	";Taxa Variável;3.821;0.9;EURIBOR12M;2.921;7402792882;113;EMP
20/09/2024;652339;Empréstimo;Papel Comercial;Prémio;EUR;1500000;100000;20/09/2024;19/09/2025;PC1143_0002;GRUPADO GLOBALVALOS 2024 - 2ª Emissão;PTEB1DJM0001;1312000;EMBALAGENS METALICAS RIO CAIMA, S.A.//;103863.46;20/09/2024;3.821;103863.46;1687.61;PC1143;6226;510377017;"	";Taxa Variável;3.821;0.9;EURIBOR12M;2.921;7401051741;113;EMP
23/09/2024;652397;Empréstimo;Papel Comercial;Prémio;EUR;1700000;1700000;25/09/2024;25/03/2025;PC1011_0003;INVESTMCD - 2023 - 3ª Emissão;PTINVCJM0003;1310000;INVESTMCD, LDA//;1733864.09;23/09/2024;3.962;1733864.09;28812.54;PC1011;6595;515207047;"	";Taxa Variável;3.962;1.06;EURIBOR1Y0;2.902;7402162658;113;EMP
23/09/2024;652401;Empréstimo;Papel Comercial;Prémio;EUR;900000;900000;25/09/2024;25/03/2025;PC1074_0002;ROCLAYER PACKAGING COMPOUNDS,SA - 202 - 2ª Emissão;PTR74BJM0008;1312000;ROCLAYER - PACKAGING COMPOUNDS, S.A.//;916525.30;23/09/2024;3.652;916525.30;14060.2;PC1074;6226;514300876;"	";Taxa Variável;3.652;0.75;EURIBOR1Y0;2.902;7401543166;113;EMP
23/09/2024;652403;Empréstimo;Papel Comercial;Prémio;EUR;1000000;1000000;23/09/2024;23/06/2025;PC1144_0001;TORMETAIS 2024 - 1ª Emissão;PTT75AJM0006;1312000;TORMETAIS-SOCIEDADE DE COMERCIALIZACAO DE METAIS LDA//;1029590.17;23/09/2024;3.902;1029590.17;16908.67;PC1144;6226;503194395;"	";Taxa Variável;3.902;1;EURIBOR1Y0;2.902;5100390795;113;EMP
23/09/2024;652410;Empréstimo;Papel Comercial;Prémio;CHF;400000;370448.77;23/09/2024;21/03/2025;PC0833_0016;LAMEIRINHO 2020 - 16ª Emissão;PTLA11JM0050;1312000;LAMEIRINHO - IND.TEXTIL, SA//;353330.37;23/09/2024;1.9137;353330.37;2902.45;PC0833;6246;500151539;"	";Taxa Variável;1.9137;0.575;IRCHSARON6M;1.3387;8002285436;113;EMP
24/09/2024;652444;Empréstimo;Papel Comercial;Prémio;EUR;2000000;2000000;26/09/2024;26/03/2025;PC0852_0010;GRUPADO TARHOL - 2021 - 10ª Emissão;PTTH1OJM0003;1312000;TARHOL, SA//;2009552.78;24/09/2024;0.95;2009552.78;8075;PC0852;6581;514825979;"	";Taxa Fixa;0.95;;;;7401859475;113;EMP
24/09/2024;652482;Empréstimo;Papel Comercial;Prémio;EUR;1500000;1500000;25/09/2024;19/03/2025;PC1075_0002;METALUSA 2024 - 2ª Emissão;PTME4BJM0007;1312000;METALUSA SA//;1530275.00;24/09/2024;4.152;1530275.00;26642;PC1075;6245;502444274;"	";Taxa Variável;4.152;1.25;EURIBOR12M;2.902;8028107744;113;EMP
25/09/2024;652556;Empréstimo;Papel Comercial;Prémio;EUR;1800000;1800000;27/09/2024;27/03/2025;PC1079_0002;BIOPORT SA - 2024 - 2ª Emissão;PTB1TDJM0007;1312000;BIOPORT SA//;1834887.75;25/09/2024;3.855;1834887.75;29298;PC1079;6228;507800699;"	";Taxa Variável;3.855;0.7;EURIBOR6M0;3.155;7400325981;113;EMP
26/09/2024;652643;Empréstimo;Papel Comercial;Prémio;EUR;19500000;50000;30/09/2024;29/09/2025;PC0938_0027;GRUPADO VERACRUZ 2022 - 27ª Emissão;PTV40HJM0007;1312000;VERACRUZ AGRO, S.A//;52130.92;26/09/2024;4.215;52130.92;872.27;PC0938;5223;516484656;"	";Taxa Variável;4.215;1.46;EURIBOR1Y0;2.755;7402296772;113;EMP
26/09/2024;652662;Empréstimo;Papel Comercial;Prémio;EUR;1000000;150000;30/09/2024;13/03/2025;PC1069_0008;GRUPADO JAIME ALBERTO, LDA - 2024 - 8ª Emissão;PTC1QEJM0007;1312000;CENARIO ABERTO LDA//;152326.75;26/09/2024;3.405;152326.75;2113.94;PC1069;6247;508368456;"	";Taxa Variável;3.405;0.65;EURIBOR1Y0;2.755;5100665714;113;EMP
26/09/2024;652688;Empréstimo;Papel Comercial;Prémio;EUR;15000000;15000000;27/09/2024;26/09/2025;PC1148_0001;EXPRESSÃO LIVRE II - 1ª Emissão;PTEX4AJM0005;1312000;EXPRESSAO LIVRE II - SGPS S.A.//;15625776.67;26/09/2024;4.126;15625776.67;261313.33;PC1148;7102;517786346;"	";Taxa Variável;4.126;1.35;EURIBOR12M;2.776;7402708541;113;EMP
03/10/2024;653068;Empréstimo;Papel Comercial;Prémio;EUR;5000000;5000000;07/10/2024;07/04/2025;PC0875_0006;RENOVA - 2021 - 6ª Emissão;PTR51DJM0011;1312000;RENOVA - Fábrica de Papel do Almonda, S.A., Zibreira//;5013902.78;03/10/2024;0.55;5013902.78;10847.22;PC0875;6239;500348723;"	";Taxa Fixa;0.55;;;;909;113;EMP
03/10/2024;653072;Empréstimo;Papel Comercial;Prémio;EUR;2000000;1100000;04/10/2024;26/09/2025;PC1154_0001;LASKASAS 2024 - 1ª Emissão;PTL661JM0005;1312000;LASKASAS, S.A//;1135942.96;03/10/2024;3.295;1135942.96;14598.68;PC1154;6228;507272102;"	";Taxa Variável;3.295;0.55;EURIBOR12M;2.745;7400259429;113;EMP
